latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.100006,-94.5,265.0,-14400,America/New_York,EDT

time,temperature_2m_max (°F)
2020-03-01,63.4
2020-03-02,50.7
2020-03-03,57.7
2020-03-04,57.8
2020-03-05,55.1
2020-03-06,51.6
2020-03-07,62.5
2020-03-08,65.9
2020-03-09,56.9
2020-03-10,53.3
2020-03-11,64.3
2020-03-12,64.2
2020-03-13,48.8
2020-03-14,42.6
2020-03-15,40.9
2020-03-16,41.2
2020-03-17,50.2
2020-03-18,61.6
2020-03-19,72.2
2020-03-20,64.3
2020-03-21,46.9
2020-03-22,43.8
2020-03-23,52.9
2020-03-24,52.6
2020-03-25,69.7
2020-03-26,68.4
2020-03-27,70.7
2020-03-28,72.0
2020-03-29,64.7
2020-03-30,67.7
2020-03-31,65.0
2020-04-01,69.5
2020-04-02,67.0
2020-04-03,61.7
2020-04-04,49.9
2020-04-05,57.0
2020-04-06,69.0
2020-04-07,78.5
2020-04-08,83.6
2020-04-09,56.8
2020-04-10,53.3
2020-04-11,70.7
2020-04-12,60.3
2020-04-13,45.8
2020-04-14,48.8
2020-04-15,51.4
2020-04-16,49.9
2020-04-17,45.4
2020-04-18,61.1
2020-04-19,64.9
2020-04-20,67.3
2020-04-21,67.9
2020-04-22,65.6
2020-04-23,71.6
2020-04-24,63.6
2020-04-25,64.6
2020-04-26,68.7
2020-04-27,74.9
2020-04-28,76.3
2020-04-29,65.9
2020-04-30,70.2
2020-05-01,79.8
2020-05-02,79.3
2020-05-03,71.0
2020-05-04,60.9
2020-05-05,69.2
2020-05-06,60.2
2020-05-07,64.2
2020-05-08,57.3
2020-05-09,61.6
2020-05-10,57.7
2020-05-11,52.6
2020-05-12,50.2
2020-05-13,64.7
2020-05-14,78.6
2020-05-15,71.6
2020-05-16,74.4
2020-05-17,68.5
2020-05-18,62.1
2020-05-19,66.8
2020-05-20,67.9
2020-05-21,70.7
2020-05-22,72.7
2020-05-23,83.0
2020-05-24,83.6
2020-05-25,76.7
2020-05-26,72.5
2020-05-27,74.9
2020-05-28,69.9
2020-05-29,74.9
2020-05-30,75.8
2020-05-31,76.6
2020-06-01,83.5
2020-06-02,86.5
2020-06-03,87.5
2020-06-04,87.5
2020-06-05,91.4
2020-06-06,91.6
2020-06-07,90.9
2020-06-08,89.9
2020-06-09,88.6
2020-06-10,75.2
2020-06-11,84.8
2020-06-12,87.4
2020-06-13,88.8
2020-06-14,89.0
2020-06-15,89.7
2020-06-16,86.3
2020-06-17,85.7
2020-06-18,88.5
2020-06-19,84.3
2020-06-20,81.2
2020-06-21,86.3
2020-06-22,83.5
2020-06-23,79.2
2020-06-24,82.6
2020-06-25,89.1
2020-06-26,91.0
2020-06-27,87.5
2020-06-28,90.2
2020-06-29,87.5
2020-06-30,90.2
2020-07-01,86.7
2020-07-02,86.9
2020-07-03,88.4
2020-07-04,85.0
2020-07-05,85.8
2020-07-06,89.3
2020-07-07,90.5
2020-07-08,91.1
2020-07-09,91.3
2020-07-10,91.8
2020-07-11,91.7
2020-07-12,86.3
2020-07-13,91.6
2020-07-14,92.2
2020-07-15,82.2
2020-07-16,85.0
2020-07-17,93.0
2020-07-18,93.5
2020-07-19,86.0
2020-07-20,84.1
2020-07-21,79.3
2020-07-22,86.7
2020-07-23,89.3
2020-07-24,89.9
2020-07-25,89.6
2020-07-26,90.5
2020-07-27,82.1
2020-07-28,84.2
2020-07-29,80.6
2020-07-30,81.6
2020-07-31,77.1
2020-08-01,80.7
2020-08-02,78.7
2020-08-03,74.4
2020-08-04,72.5
2020-08-05,78.4
2020-08-06,84.6
2020-08-07,85.5
2020-08-08,88.6
2020-08-09,90.9
2020-08-10,87.9
2020-08-11,84.2
2020-08-12,87.0
2020-08-13,86.8
2020-08-14,88.7
2020-08-15,82.7
2020-08-16,83.9
2020-08-17,83.0
2020-08-18,78.8
2020-08-19,81.0
2020-08-20,82.9
2020-08-21,86.9
2020-08-22,89.3
2020-08-23,92.0
2020-08-24,92.5
2020-08-25,92.9
2020-08-26,90.3
2020-08-27,88.7
2020-08-28,91.8
2020-08-29,81.7
2020-08-30,78.8
2020-08-31,77.7
2020-09-01,81.3
2020-09-02,83.6
2020-09-03,83.8
2020-09-04,81.2
2020-09-05,88.1
2020-09-06,89.5
2020-09-07,90.6
2020-09-08,74.6
2020-09-09,56.8
2020-09-10,55.6
2020-09-11,62.0
2020-09-12,77.5
2020-09-13,74.4
2020-09-14,77.4
2020-09-15,79.8
2020-09-16,82.1
2020-09-17,72.9
2020-09-18,71.6
2020-09-19,71.6
2020-09-20,74.6
2020-09-21,76.8
2020-09-22,77.5
2020-09-23,75.5
2020-09-24,79.3
2020-09-25,83.9
2020-09-26,85.4
2020-09-27,74.9
2020-09-28,65.0
2020-09-29,69.0
2020-09-30,71.8
2020-10-01,61.1
2020-10-02,61.5
2020-10-03,64.8
2020-10-04,59.9
2020-10-05,71.3
2020-10-06,77.0
2020-10-07,83.8
2020-10-08,81.6
2020-10-09,81.1
2020-10-10,79.4
2020-10-11,82.6
2020-10-12,74.2
2020-10-13,73.3
2020-10-14,80.3
2020-10-15,65.5
2020-10-16,60.9
2020-10-17,69.2
2020-10-18,60.9
2020-10-19,47.0
2020-10-20,51.0
2020-10-21,53.2
2020-10-22,81.1
2020-10-23,52.4
2020-10-24,44.8
2020-10-25,43.0
2020-10-26,36.6
2020-10-27,36.2
2020-10-28,47.2
2020-10-29,47.9
2020-10-30,59.4
2020-10-31,63.2
2020-11-01,54.6
2020-11-02,61.3
2020-11-03,69.5
2020-11-04,67.2
2020-11-05,69.3
2020-11-06,71.5
2020-11-07,69.6
2020-11-08,72.7
2020-11-09,73.1
2020-11-10,66.7
2020-11-11,53.3
2020-11-12,56.0
2020-11-13,45.9
2020-11-14,63.4
2020-11-15,54.6
2020-11-16,59.9
2020-11-17,54.0
2020-11-18,63.6
