latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.800003,-105.0,1582.0,-14400,America/New_York,EDT

time,temperature_2m_max (°F)
2020-03-01,40.3
2020-03-02,46.9
2020-03-03,48.6
2020-03-04,52.9
2020-03-05,47.6
2020-03-06,61.3
2020-03-07,62.2
2020-03-08,62.4
2020-03-09,56.0
2020-03-10,57.7
2020-03-11,64.5
2020-03-12,49.4
2020-03-13,46.1
2020-03-14,50.9
2020-03-15,55.6
2020-03-16,61.0
2020-03-17,59.0
2020-03-18,62.0
2020-03-19,43.2
2020-03-20,28.0
2020-03-21,38.4
2020-03-22,39.7
2020-03-23,49.1
2020-03-24,56.8
2020-03-25,62.6
2020-03-26,60.0
2020-03-27,42.4
2020-03-28,47.2
2020-03-29,50.8
2020-03-30,53.5
2020-03-31,62.6
2020-04-01,64.4
2020-04-02,42.8
2020-04-03,41.9
2020-04-04,56.4
2020-04-05,65.2
2020-04-06,67.4
2020-04-07,68.5
2020-04-08,64.8
2020-04-09,54.2
2020-04-10,67.8
2020-04-11,65.4
2020-04-12,47.8
2020-04-13,25.9
2020-04-14,39.1
2020-04-15,47.5
2020-04-16,36.1
2020-04-17,45.1
2020-04-18,49.6
2020-04-19,55.9
2020-04-20,59.1
2020-04-21,61.9
2020-04-22,61.3
2020-04-23,63.2
2020-04-24,55.6
2020-04-25,58.8
2020-04-26,70.0
2020-04-27,73.0
2020-04-28,68.8
2020-04-29,67.9
2020-04-30,80.0
2020-05-01,80.4
2020-05-02,65.3
2020-05-03,70.1
2020-05-04,64.2
2020-05-05,65.4
2020-05-06,69.2
2020-05-07,71.5
2020-05-08,62.0
2020-05-09,58.6
2020-05-10,59.2
2020-05-11,50.5
2020-05-12,71.7
2020-05-13,74.6
2020-05-14,66.4
2020-05-15,65.8
2020-05-16,65.0
2020-05-17,72.2
2020-05-18,82.6
2020-05-19,85.6
2020-05-20,82.5
2020-05-21,71.3
2020-05-22,78.2
2020-05-23,75.8
2020-05-24,60.5
2020-05-25,61.3
2020-05-26,73.6
2020-05-27,76.9
2020-05-28,69.5
2020-05-29,83.3
2020-05-30,79.1
2020-05-31,84.4
2020-06-01,85.4
2020-06-02,83.5
2020-06-03,85.0
2020-06-04,85.8
2020-06-05,91.0
2020-06-06,84.3
2020-06-07,86.6
2020-06-08,75.7
2020-06-09,66.0
2020-06-10,72.9
2020-06-11,77.6
2020-06-12,86.3
2020-06-13,87.4
2020-06-14,87.9
2020-06-15,89.2
2020-06-16,90.6
2020-06-17,91.2
2020-06-18,73.5
2020-06-19,69.4
2020-06-20,82.9
2020-06-21,82.4
2020-06-22,75.4
2020-06-23,81.8
2020-06-24,87.8
2020-06-25,87.9
2020-06-26,79.0
2020-06-27,85.6
2020-06-28,87.5
2020-06-29,90.1
2020-06-30,79.4
2020-07-01,85.5
2020-07-02,91.6
2020-07-03,87.6
2020-07-04,85.8
2020-07-05,86.5
2020-07-06,92.3
2020-07-07,93.8
2020-07-08,92.8
2020-07-09,90.0
2020-07-10,96.3
2020-07-11,91.1
2020-07-12,92.8
2020-07-13,95.5
2020-07-14,79.0
2020-07-15,75.5
2020-07-16,87.4
2020-07-17,89.8
2020-07-18,93.2
2020-07-19,84.7
2020-07-20,88.3
2020-07-21,85.4
2020-07-22,90.2
2020-07-23,88.8
2020-07-24,86.6
2020-07-25,84.1
2020-07-26,80.4
2020-07-27,79.8
2020-07-28,80.2
2020-07-29,89.5
2020-07-30,77.8
2020-07-31,83.5
2020-08-01,84.4
2020-08-02,81.4
2020-08-03,84.4
2020-08-04,89.0
2020-08-05,89.1
2020-08-06,85.7
2020-08-07,91.5
2020-08-08,90.0
2020-08-09,91.4
2020-08-10,87.2
2020-08-11,91.0
2020-08-12,89.8
2020-08-13,92.8
2020-08-14,90.6
2020-08-15,89.3
2020-08-16,91.5
2020-08-17,89.2
2020-08-18,94.6
2020-08-19,92.6
2020-08-20,88.6
2020-08-21,89.3
2020-08-22,92.7
2020-08-23,94.7
2020-08-24,92.3
2020-08-25,91.9
2020-08-26,89.4
2020-08-27,91.3
2020-08-28,75.6
2020-08-29,77.7
2020-08-30,87.1
2020-08-31,80.0
2020-09-01,77.5
2020-09-02,86.9
2020-09-03,85.1
2020-09-04,86.5
2020-09-05,95.5
2020-09-06,94.7
2020-09-07,91.9
2020-09-08,63.4
2020-09-09,36.4
2020-09-10,48.0
2020-09-11,66.2
2020-09-12,74.8
2020-09-13,79.0
2020-09-14,81.4
2020-09-15,82.7
2020-09-16,73.0
2020-09-17,82.3
2020-09-18,82.1
2020-09-19,84.4
2020-09-20,81.1
2020-09-21,83.2
2020-09-22,81.6
2020-09-23,80.5
2020-09-24,86.1
2020-09-25,86.8
2020-09-26,86.5
2020-09-27,65.1
2020-09-28,59.9
2020-09-29,77.5
2020-09-30,70.5
2020-10-01,65.8
2020-10-02,73.0
2020-10-03,65.1
2020-10-04,80.1
2020-10-05,80.2
2020-10-06,82.4
2020-10-07,80.7
2020-10-08,82.2
2020-10-09,81.1
2020-10-10,81.4
2020-10-11,73.5
2020-10-12,73.1
2020-10-13,79.0
2020-10-14,78.8
