latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
34.1,-118.2,150.0,-14400,America/New_York,EDT

time,temperature_2m_max (°F)
2020-03-01,58.8
2020-03-02,71.5
2020-03-03,83.2
2020-03-04,74.3
2020-03-05,78.7
2020-03-06,74.1
2020-03-07,61.8
2020-03-08,64.3
2020-03-09,72.5
2020-03-10,65.5
2020-03-11,67.9
2020-03-12,68.8
2020-03-13,55.7
2020-03-14,57.6
2020-03-15,59.6
2020-03-16,57.1
2020-03-17,55.8
2020-03-18,61.6
2020-03-19,55.3
2020-03-20,59.8
2020-03-21,61.6
2020-03-22,64.8
2020-03-23,61.0
2020-03-24,59.8
2020-03-25,59.2
2020-03-26,58.1
2020-03-27,62.0
2020-03-28,63.1
2020-03-29,62.4
2020-03-30,70.7
2020-03-31,75.8
2020-04-01,69.7
2020-04-02,67.0
2020-04-03,67.6
2020-04-04,63.2
2020-04-05,57.0
2020-04-06,56.2
2020-04-07,60.9
2020-04-08,56.0
2020-04-09,52.4
2020-04-10,59.9
2020-04-11,67.9
2020-04-12,56.7
2020-04-13,60.1
2020-04-14,75.3
2020-04-15,77.0
2020-04-16,70.1
2020-04-17,62.4
2020-04-18,63.0
2020-04-19,65.2
2020-04-20,63.0
2020-04-21,74.2
2020-04-22,84.4
2020-04-23,88.9
2020-04-24,95.5
2020-04-25,90.6
2020-04-26,86.7
2020-04-27,83.1
2020-04-28,85.4
2020-04-29,82.4
2020-04-30,83.0
2020-05-01,79.9
2020-05-02,80.5
2020-05-03,79.2
2020-05-04,88.4
2020-05-05,93.7
2020-05-06,97.1
2020-05-07,95.6
2020-05-08,86.7
2020-05-09,81.9
2020-05-10,77.8
2020-05-11,76.0
2020-05-12,70.5
2020-05-13,75.2
2020-05-14,79.7
2020-05-15,83.2
2020-05-16,84.7
2020-05-17,78.7
2020-05-18,70.4
2020-05-19,71.4
2020-05-20,77.8
2020-05-21,85.6
2020-05-22,78.0
2020-05-23,77.8
2020-05-24,82.1
2020-05-25,86.8
2020-05-26,90.4
2020-05-27,87.6
2020-05-28,83.1
2020-05-29,76.2
2020-05-30,77.5
2020-05-31,80.7
2020-06-01,87.3
2020-06-02,87.6
2020-06-03,99.4
2020-06-04,81.2
2020-06-05,69.9
2020-06-06,72.0
2020-06-07,80.3
2020-06-08,89.3
2020-06-09,97.0
2020-06-10,98.7
2020-06-11,93.2
2020-06-12,82.3
2020-06-13,80.1
2020-06-14,81.1
2020-06-15,82.3
2020-06-16,77.2
2020-06-17,77.4
2020-06-18,77.7
2020-06-19,79.4
2020-06-20,82.3
2020-06-21,81.1
2020-06-22,84.1
2020-06-23,85.4
2020-06-24,84.6
2020-06-25,82.8
2020-06-26,85.6
2020-06-27,83.2
2020-06-28,73.3
2020-06-29,76.0
2020-06-30,82.3
2020-07-01,79.6
2020-07-02,82.2
2020-07-03,89.2
2020-07-04,92.4
2020-07-05,94.1
2020-07-06,93.2
2020-07-07,90.9
2020-07-08,86.6
2020-07-09,88.5
2020-07-10,93.9
2020-07-11,100.6
2020-07-12,99.3
2020-07-13,89.9
2020-07-14,84.4
2020-07-15,84.4
2020-07-16,85.0
2020-07-17,86.3
2020-07-18,89.4
2020-07-19,89.3
2020-07-20,86.6
2020-07-21,87.2
2020-07-22,83.5
2020-07-23,81.0
2020-07-24,82.4
2020-07-25,85.9
2020-07-26,90.9
2020-07-27,87.2
2020-07-28,87.7
2020-07-29,90.2
2020-07-30,96.3
2020-07-31,99.6
2020-08-01,98.5
2020-08-02,91.5
2020-08-03,90.7
2020-08-04,84.5
2020-08-05,82.3
2020-08-06,79.8
2020-08-07,84.3
2020-08-08,86.8
2020-08-09,87.9
2020-08-10,88.9
2020-08-11,89.4
2020-08-12,95.9
2020-08-13,99.4
2020-08-14,102.9
2020-08-15,106.9
2020-08-16,97.9
2020-08-17,99.1
2020-08-18,106.9
2020-08-19,102.6
2020-08-20,102.3
2020-08-21,96.9
2020-08-22,95.9
2020-08-23,94.0
2020-08-24,94.2
2020-08-25,96.3
2020-08-26,96.6
2020-08-27,99.1
2020-08-28,94.4
2020-08-29,88.3
2020-08-30,86.9
2020-08-31,84.8
2020-09-01,85.2
2020-09-02,89.0
2020-09-03,92.3
2020-09-04,97.3
2020-09-05,113.0
2020-09-06,115.6
2020-09-07,95.9
2020-09-08,83.6
2020-09-09,92.5
2020-09-10,93.1
2020-09-11,94.9
2020-09-12,95.7
2020-09-13,93.2
2020-09-14,94.5
2020-09-15,95.9
2020-09-16,99.6
2020-09-17,98.7
2020-09-18,98.7
2020-09-19,93.6
2020-09-20,88.5
2020-09-21,86.9
2020-09-22,88.9
2020-09-23,90.9
2020-09-24,91.0
2020-09-25,85.9
2020-09-26,85.0
2020-09-27,86.3
2020-09-28,95.5
2020-09-29,103.0
2020-09-30,106.1
2020-10-01,105.7
2020-10-02,103.2
2020-10-03,98.9
2020-10-04,95.5
2020-10-05,95.9
2020-10-06,93.1
2020-10-07,86.8
2020-10-08,77.9
2020-10-09,77.4
2020-10-10,77.5
2020-10-11,82.7
2020-10-12,97.6
2020-10-13,98.4
2020-10-14,97.6
2020-10-15,99.0
2020-10-16,100.8
2020-10-17,92.4
2020-10-18,86.4
2020-10-19,83.2
2020-10-20,83.5
2020-10-21,79.6
2020-10-22,74.5
2020-10-23,74.2
2020-10-24,72.3
2020-10-25,65.2
2020-10-26,71.5
2020-10-27,81.4
2020-10-28,81.3
2020-10-29,87.1
2020-10-30,87.0
2020-10-31,89.5
2020-11-01,90.0
2020-11-02,83.4
2020-11-03,81.4
2020-11-04,91.2
2020-11-05,94.5
2020-11-06,77.0
2020-11-07,60.5
2020-11-08,60.2
2020-11-09,62.3
2020-11-10,69.2
2020-11-11,69.4
2020-11-12,71.9
2020-11-13,68.2
2020-11-14,78.5
2020-11-15,86.6
2020-11-16,90.9
2020-11-17,80.1
2020-11-18,70.4
2020-11-19,75.5
