latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.90001,-77.0,5.0,-14400,America/New_York,EDT

time,temperature_2m_max (°F)
2020-03-01,48.9
2020-03-02,62.1
2020-03-03,62.2
2020-03-04,62.0
2020-03-05,54.3
2020-03-06,50.7
2020-03-07,50.1
2020-03-08,59.4
2020-03-09,70.2
2020-03-10,70.6
2020-03-11,54.7
2020-03-12,61.1
2020-03-13,73.4
2020-03-14,58.1
2020-03-15,50.0
2020-03-16,53.4
2020-03-17,63.4
2020-03-18,55.1
2020-03-19,73.4
2020-03-20,79.6
2020-03-21,66.2
2020-03-22,51.3
2020-03-23,45.4
2020-03-24,54.8
2020-03-25,47.3
2020-03-26,59.9
2020-03-27,66.5
2020-03-28,59.9
2020-03-29,71.6
2020-03-30,71.7
2020-03-31,53.6
2020-04-01,54.3
2020-04-02,59.4
2020-04-03,63.1
2020-04-04,58.1
2020-04-05,67.4
2020-04-06,68.2
2020-04-07,72.2
2020-04-08,75.8
2020-04-09,69.2
2020-04-10,51.0
2020-04-11,60.8
2020-04-12,72.0
2020-04-13,76.0
2020-04-14,58.6
2020-04-15,54.3
2020-04-16,53.2
2020-04-17,58.6
2020-04-18,55.5
2020-04-19,63.5
2020-04-20,60.8
2020-04-21,66.2
2020-04-22,58.1
2020-04-23,63.8
2020-04-24,54.5
2020-04-25,65.0
2020-04-26,56.8
2020-04-27,57.1
2020-04-28,57.3
2020-04-29,73.8
2020-04-30,65.3
2020-05-01,64.0
2020-05-02,69.8
2020-05-03,76.1
2020-05-04,70.3
2020-05-05,57.2
2020-05-06,59.9
2020-05-07,65.0
2020-05-08,63.9
2020-05-09,50.0
2020-05-10,61.9
2020-05-11,58.8
2020-05-12,58.1
2020-05-13,67.0
2020-05-14,71.2
2020-05-15,82.2
2020-05-16,79.6
2020-05-17,71.2
2020-05-18,65.9
2020-05-19,67.2
2020-05-20,61.8
2020-05-21,68.4
2020-05-22,71.4
2020-05-23,79.5
2020-05-24,68.1
2020-05-25,73.0
2020-05-26,77.0
2020-05-27,76.3
2020-05-28,79.1
2020-05-29,84.7
2020-05-30,81.3
2020-05-31,72.1
2020-06-01,73.4
2020-06-02,77.1
2020-06-03,91.9
2020-06-04,91.0
2020-06-05,87.0
2020-06-06,88.5
2020-06-07,81.5
2020-06-08,83.1
2020-06-09,91.6
2020-06-10,93.2
2020-06-11,85.2
2020-06-12,86.2
2020-06-13,79.2
2020-06-14,76.8
2020-06-15,75.4
2020-06-16,75.9
2020-06-17,70.9
2020-06-18,79.3
2020-06-19,82.9
2020-06-20,77.7
2020-06-21,82.4
2020-06-22,88.8
2020-06-23,87.9
2020-06-24,83.2
2020-06-25,84.6
2020-06-26,87.5
2020-06-27,91.9
2020-06-28,88.5
2020-06-29,89.9
2020-06-30,88.6
2020-07-01,85.0
2020-07-02,89.0
2020-07-03,96.0
2020-07-04,90.1
2020-07-05,93.6
2020-07-06,94.1
2020-07-07,89.9
2020-07-08,90.2
2020-07-09,89.6
2020-07-10,88.7
2020-07-11,93.2
2020-07-12,90.0
2020-07-13,89.2
2020-07-14,90.1
2020-07-15,91.4
2020-07-16,88.4
2020-07-17,96.8
2020-07-18,97.5
2020-07-19,98.1
2020-07-20,99.5
2020-07-21,97.8
2020-07-22,95.7
2020-07-23,92.2
2020-07-24,83.3
2020-07-25,88.2
2020-07-26,94.8
2020-07-27,94.9
2020-07-28,93.3
2020-07-29,93.7
2020-07-30,94.6
2020-07-31,78.4
2020-08-01,85.1
2020-08-02,91.1
2020-08-03,85.9
2020-08-04,85.4
2020-08-05,85.1
2020-08-06,81.9
2020-08-07,83.3
2020-08-08,82.5
2020-08-09,86.5
2020-08-10,90.2
2020-08-11,89.4
2020-08-12,89.9
2020-08-13,77.9
2020-08-14,83.9
2020-08-15,79.5
2020-08-16,73.9
2020-08-17,82.7
2020-08-18,83.8
2020-08-19,81.0
2020-08-20,79.7
2020-08-21,82.6
2020-08-22,80.0
2020-08-23,86.0
2020-08-24,87.0
2020-08-25,91.3
2020-08-26,84.5
2020-08-27,91.8
2020-08-28,89.9
2020-08-29,83.1
2020-08-30,80.1
2020-08-31,76.8
2020-09-01,76.9
2020-09-02,86.7
2020-09-03,87.6
2020-09-04,86.3
2020-09-05,78.6
2020-09-06,82.2
2020-09-07,81.5
2020-09-08,83.3
2020-09-09,77.1
2020-09-10,78.5
2020-09-11,80.6
2020-09-12,73.8
2020-09-13,79.8
2020-09-14,77.8
2020-09-15,68.8
2020-09-16,72.7
2020-09-17,73.4
2020-09-18,75.0
2020-09-19,63.5
2020-09-20,65.5
2020-09-21,64.6
2020-09-22,70.3
2020-09-23,78.8
2020-09-24,73.7
2020-09-25,71.0
2020-09-26,70.7
2020-09-27,75.2
2020-09-28,80.2
2020-09-29,77.2
2020-09-30,70.0
2020-10-01,72.7
2020-10-02,67.9
2020-10-03,65.3
2020-10-04,67.1
2020-10-05,67.1
2020-10-06,71.0
2020-10-07,79.3
2020-10-08,69.2
2020-10-09,69.8
2020-10-10,71.6
2020-10-11,69.7
2020-10-12,65.0
2020-10-13,68.2
2020-10-14,72.1
2020-10-15,74.7
2020-10-16,66.3
2020-10-17,60.9
2020-10-18,63.8
2020-10-19,69.9
2020-10-20,74.6
2020-10-21,75.7
2020-10-22,77.9
2020-10-23,75.9
2020-10-24,73.9
2020-10-25,61.7
2020-10-26,62.9
2020-10-27,63.8
2020-10-28,71.2
2020-10-29,65.9
2020-10-30,53.5
2020-10-31,50.0
2020-11-01,57.5
2020-11-02,48.0
2020-11-03,60.0
2020-11-04,65.4
2020-11-05,67.2
2020-11-06,70.6
2020-11-07,71.9
2020-11-08,73.4
2020-11-09,73.6
2020-11-10,73.4
2020-11-11,69.2
2020-11-12,68.7
2020-11-13,61.0
2020-11-14,57.6
2020-11-15,67.4
2020-11-16,58.5
2020-11-17,52.8
2020-11-18,43.7
2020-11-19,49.7
2020-11-20,60.8
2020-11-21,66.2
2020-11-22,57.1
2020-11-23,56.9
2020-11-24,49.8
2020-11-25,56.6
2020-11-26,67.1
2020-11-27,59.9
2020-11-28,57.7
2020-11-29,56.0
2020-11-30,63.9
2020-12-01,46.8
2020-12-02,46.8
2020-12-03,52.2
2020-12-04,50.1
2020-12-05,48.3
2020-12-06,44.4
2020-12-07,41.1
2020-12-08,44.5
2020-12-09,44.0
2020-12-10,51.4
2020-12-11,57.9
2020-12-12,60.4
2020-12-13,62.6
2020-12-14,45.4
2020-12-15,41.3
2020-12-16,39.8
2020-12-17,38.8
2020-12-18,39.3
2020-12-19,37.6
2020-12-20,44.5
2020-12-21,49.2
2020-12-22,49.1
2020-12-23,47.7
2020-12-24,59.9
2020-12-25,60.1
2020-12-26,35.2
2020-12-27,40.3
2020-12-28,53.2
2020-12-29,40.8
