latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.800003,-122.399994,10.0,-14400,America/New_York,EDT

time,temperature_2m_max (°F)
2020-03-01,59.5
2020-03-02,71.4
2020-03-03,71.6
2020-03-04,70.3
2020-03-05,58.8
2020-03-06,56.7
2020-03-07,52.2
2020-03-08,55.9
2020-03-09,64.7
2020-03-10,69.2
2020-03-11,65.2
2020-03-12,66.1
2020-03-13,59.5
2020-03-14,51.9
2020-03-15,52.1
2020-03-16,52.0
2020-03-17,53.9
2020-03-18,52.7
2020-03-19,56.6
2020-03-20,59.6
2020-03-21,61.1
2020-03-22,64.9
2020-03-23,55.9
2020-03-24,54.4
2020-03-25,54.1
2020-03-26,56.3
2020-03-27,56.0
2020-03-28,56.3
2020-03-29,58.5
2020-03-30,59.3
2020-03-31,61.0
2020-04-01,59.7
2020-04-02,62.2
2020-04-03,61.2
2020-04-04,55.4
2020-04-05,53.2
2020-04-06,52.0
2020-04-07,59.0
2020-04-08,61.0
2020-04-09,60.3
2020-04-10,60.2
2020-04-11,59.0
2020-04-12,62.2
2020-04-13,66.0
2020-04-14,72.9
2020-04-15,69.5
2020-04-16,60.2
2020-04-17,59.3
2020-04-18,61.4
2020-04-19,62.6
2020-04-20,59.0
2020-04-21,65.3
2020-04-22,71.0
2020-04-23,71.7
2020-04-24,76.7
2020-04-25,74.9
2020-04-26,70.6
2020-04-27,71.1
2020-04-28,75.1
2020-04-29,63.1
2020-04-30,67.4
2020-05-01,68.2
2020-05-02,64.7
2020-05-03,67.7
2020-05-04,71.6
2020-05-05,68.0
2020-05-06,77.7
2020-05-07,78.2
2020-05-08,79.7
2020-05-09,64.9
2020-05-10,64.6
2020-05-11,66.0
2020-05-12,62.6
2020-05-13,63.5
2020-05-14,64.9
2020-05-15,68.7
2020-05-16,66.2
2020-05-17,68.6
2020-05-18,62.9
2020-05-19,64.7
2020-05-20,66.8
2020-05-21,70.0
2020-05-22,70.6
2020-05-23,74.1
2020-05-24,77.0
2020-05-25,81.6
2020-05-26,85.3
2020-05-27,82.2
2020-05-28,70.3
2020-05-29,66.4
2020-05-30,69.8
2020-05-31,62.9
2020-06-01,67.4
2020-06-02,79.7
2020-06-03,81.3
2020-06-04,79.4
2020-06-05,63.1
2020-06-06,66.0
2020-06-07,67.1
2020-06-08,73.6
2020-06-09,79.7
2020-06-10,80.5
2020-06-11,73.7
2020-06-12,65.1
2020-06-13,66.6
2020-06-14,69.6
2020-06-15,69.7
2020-06-16,71.0
2020-06-17,79.1
2020-06-18,81.3
2020-06-19,70.6
2020-06-20,67.4
2020-06-21,72.6
2020-06-22,72.8
2020-06-23,71.2
2020-06-24,71.7
2020-06-25,69.9
2020-06-26,69.5
2020-06-27,66.7
2020-06-28,68.8
2020-06-29,73.5
2020-06-30,75.6
2020-07-01,71.2
2020-07-02,68.0
2020-07-03,67.7
2020-07-04,79.9
2020-07-05,78.3
2020-07-06,72.2
2020-07-07,76.3
2020-07-08,74.5
2020-07-09,80.2
2020-07-10,76.8
2020-07-11,78.8
2020-07-12,79.7
2020-07-13,69.3
2020-07-14,70.7
2020-07-15,71.1
2020-07-16,68.9
2020-07-17,69.5
2020-07-18,72.8
2020-07-19,67.3
2020-07-20,65.5
2020-07-21,64.6
2020-07-22,68.5
2020-07-23,69.6
2020-07-24,66.5
2020-07-25,71.3
2020-07-26,70.1
2020-07-27,68.3
2020-07-28,67.5
2020-07-29,68.4
2020-07-30,69.1
2020-07-31,71.6
2020-08-01,74.1
2020-08-02,75.2
2020-08-03,77.8
2020-08-04,69.8
2020-08-05,65.3
2020-08-06,73.3
2020-08-07,74.0
2020-08-08,73.8
2020-08-09,77.3
2020-08-10,72.3
2020-08-11,68.0
2020-08-12,73.7
2020-08-13,78.5
2020-08-14,91.6
2020-08-15,86.9
2020-08-16,88.1
2020-08-17,83.6
2020-08-18,84.9
2020-08-19,83.7
2020-08-20,77.0
2020-08-21,80.5
2020-08-22,77.7
2020-08-23,74.3
2020-08-24,76.9
2020-08-25,71.7
2020-08-26,67.5
2020-08-27,70.3
2020-08-28,70.7
2020-08-29,69.3
2020-08-30,72.0
2020-08-31,71.9
2020-09-01,68.4
2020-09-02,68.9
2020-09-03,68.0
2020-09-04,70.8
2020-09-05,88.2
2020-09-06,96.4
2020-09-07,92.9
2020-09-08,87.0
2020-09-09,74.0
2020-09-10,73.7
2020-09-11,75.8
2020-09-12,77.8
2020-09-13,69.0
2020-09-14,68.0
2020-09-15,73.5
2020-09-16,74.1
2020-09-17,71.7
2020-09-18,71.9
2020-09-19,75.8
